,gdd,pmm,tmax,tmean,tmin,ndvi,ndwi,reci,elevation,exposure,slope
2020-03-22,3.0514283,0.5240816,18.79458,12.797966,7.3100734,0.2003069967031479,-0.06284479796886444,0.5023745894432068,234.68951,117.24225,13.417278
2020-04-03,0.41857144,0.0,19.729502,10.133245,1.1062945,,,,234.68951,117.24225,13.417278
2020-04-15,2.89,0.0,21.229456,12.031464,4.5474825,,,,234.68951,117.24225,13.417278
2020-04-27,7.9414287,0.0001581517,22.5109,17.25463,13.374471,,,,234.68951,117.24225,13.417278
2020-05-09,9.821428,0.0,27.441988,19.986624,12.198226,,,,234.68951,117.24225,13.417278
2020-05-21,10.548571,0.0,30.820303,21.397818,10.279671,,,,234.68951,117.24225,13.417278
2020-06-02,12.5,0.0,31.73092,21.582047,13.269343,0.45876917243003845,-0.3032451570034027,1.7247177362442017,234.68951,117.24225,13.417278
2020-06-14,10.441428,1.8176317,24.982927,19.708006,15.898035,,,,234.68951,117.24225,13.417278
2020-06-26,14.007142,1.7807102,29.151045,22.256987,18.865757,,,,234.68951,117.24225,13.417278
2020-07-08,12.874285,0.0,29.210009,22.389969,16.538797,0.41353321075439453,-0.26562151312828064,1.4227524995803833,234.68951,117.24225,13.417278
2020-07-20,14.678572,0.0,32.85068,24.945189,16.508192,,,,234.68951,117.24225,13.417278
2020-08-01,18.04143,2.7534168,36.5975,26.348846,19.48393,,,,234.68951,117.24225,13.417278
2020-08-13,15.778571,2.1030138,31.86137,24.334671,19.696854,,,,234.68951,117.24225,13.417278
2020-08-25,11.125714,0.0,28.524963,20.557318,13.729268,,,,234.68951,117.24225,13.417278
2020-09-06,10.791429,0.39938444,25.139761,20.465786,16.444637,,,,234.68951,117.24225,13.417278
2020-09-18,10.654286,0.0,27.37625,20.257864,13.932778,,,,234.68951,117.24225,13.417278
2020-09-30,4.015714,0.0,21.655561,13.068525,6.377297,0.4642661511898041,-0.2672218382358551,1.7428452968597412,234.68951,117.24225,13.417278
2020-10-12,0.77000004,5.007285e-06,16.813389,10.538665,4.7248044,,,,234.68951,117.24225,13.417278
2020-10-24,4.87,7.530183,19.661015,14.068693,10.074961,,,,234.68951,117.24225,13.417278
2020-11-05,4.87,7.530183,19.661015,14.068693,10.074961,,,,234.68951,117.24225,13.417278
2020-11-17,0.0,0.0,13.183508,6.3422093,2.2956128,0.2819139063358307,-0.14874444901943207,0.7895310521125793,234.68951,117.24225,13.417278
2020-11-29,0.0,0.0,8.73962,2.236133,-2.3802047,0.19935093820095062,-0.19085021317005157,0.5009646415710449,234.68951,117.24225,13.417278
2020-12-11,0.0,0.0,4.129023,2.9671624,2.4159186,-0.19795820116996765,0.25185880064964294,-0.33036860823631287,234.68951,117.24225,13.417278
2020-12-23,0.0,0.0,5.5717816,2.3109457,-1.1049482,-0.05660653114318848,0.1301436871290207,-0.10687802731990814,234.68951,117.24225,13.417278
2021-01-04,0.0,0.0,4.148761,0.68236625,-1.8076098,,,,234.68951,117.24225,13.417278
2021-01-16,0.0,0.0,3.6033309,-2.8311665,-4.7518,-0.17987658083438873,0.19799575209617615,-0.30398881435394287,234.68951,117.24225,13.417278
2021-01-28,0.0,0.0,2.4910583,-1.2311562,-4.502636,,,,234.68951,117.24225,13.417278
2021-02-09,0.0,0.0,8.049464,4.6388464,2.6856897,,,,234.68951,117.24225,13.417278
2021-02-21,0.0,0.0,12.925628,6.478481,2.448864,-0.006995874457061291,0.11042315512895584,-0.013391387648880482,234.68951,117.24225,13.417278
2021-03-05,0.0,0.008276896,16.734564,8.776078,1.2374353,0.2366386502981186,-0.1319967806339264,0.6227695941925049,234.68951,117.24225,13.417278
2021-03-17,0.0,0.0,13.839043,7.1561894,1.329464,0.3233623802661896,-0.2148188203573227,0.9626963138580322,234.68951,117.24225,13.417278
2021-03-29,5.0971427,0.0,23.198624,14.084741,6.992812,0.10527479648590088,-0.0178175438195467,0.23601630330085754,234.68951,117.24225,13.417278
2021-04-10,1.8000001,0.0,15.2003145,11.573426,8.399192,,,,234.68951,117.24225,13.417278
2021-04-22,4.7285714,0.0,22.659872,14.893336,6.794795,0.27452802658081055,-0.17720815539360046,0.7595334649085999,234.68951,117.24225,13.417278
2021-05-04,5.051429,0.0,21.79793,15.182577,8.305982,,,,234.68951,117.24225,13.417278
2021-05-16,5.3871427,0.044557218,21.924679,15.78569,8.84852,,,,234.68951,117.24225,13.417278
2021-05-28,7.0828576,0.0,26.362692,17.122337,7.802878,0.41360828280448914,-0.2433653324842453,1.416906476020813,234.68951,117.24225,13.417278
2021-06-09,11.422857,1.4974451,28.467377,19.67708,14.3781185,0.1186673492193222,-0.014532661065459251,0.26956233382225037,234.68951,117.24225,13.417278
2021-06-21,17.352858,0.18347144,34.503963,27.56959,20.199812,0.27090972661972046,-0.187007337808609,0.7464646697044373,234.68951,117.24225,13.417278
2021-07-03,17.352858,0.18347144,34.503963,27.56959,20.199812,0.27090972661972046,-0.187007337808609,0.7464646697044373,234.68951,117.24225,13.417278
2021-07-15,7.8714285,3.3040698,23.044512,17.018713,12.699183,,,,234.68951,117.24225,13.417278
2021-07-27,11.814286,9.981818,26.109524,20.831568,17.516342,,,,234.68951,117.24225,13.417278
2021-08-08,13.644287,1.9076773,29.270214,22.906965,18.014133,0.5096381306648254,-0.2766607701778412,2.0936317443847656,234.68951,117.24225,13.417278
2021-08-20,13.532857,0.0,29.795105,22.903223,17.271606,,,,234.68951,117.24225,13.417278
2021-09-01,9.908571,0.0,28.879244,19.120623,10.93808,,,,234.68951,117.24225,13.417278
2021-09-13,12.037145,0.0,29.271505,20.756786,14.802126,0.29592663049697876,-0.158391535282135,0.844963550567627,234.68951,117.24225,13.417278
2021-09-25,7.501429,0.0,23.925894,17.09819,11.075278,0.3882652521133423,-0.1935206651687622,1.279320240020752,234.68951,117.24225,13.417278
2021-10-07,5.3657146,0.0,19.386002,15.725798,11.34689,,,,234.68951,117.24225,13.417278
2021-10-19,0.0,0.0,13.97292,9.345592,5.2197456,,,,234.68951,117.24225,13.417278
2021-10-31,0.01,0.0,14.601625,8.982462,5.3812995,,,,234.68951,117.24225,13.417278
2021-11-12,0.09714286,0.0,15.9478655,8.5131035,4.2451777,0.3516973555088043,-0.16391365230083466,1.0935213565826416,234.68951,117.24225,13.417278
2021-11-24,0.0,0.0,9.988214,3.5664918,-0.08631467,0.3418712019920349,-0.18038514256477356,1.0471311807632446,234.68951,117.24225,13.417278
2021-12-06,0.0,0.0,7.266488,3.0229886,-0.94075125,0.2735596001148224,-0.15813878178596497,0.7576168179512024,234.68951,117.24225,13.417278
2021-12-18,0.0,0.0,7.7376943,1.9027731,-2.463628,0.24274536967277527,-0.11298932880163193,0.6458463072776794,234.68951,117.24225,13.417278
2021-12-30,0.0,0.0,9.003042,5.6452866,1.6408051,0.22711201012134552,-0.07999070733785629,0.5920358300209045,234.68951,117.24225,13.417278
2022-01-11,0.0,0.0,9.111988,4.883053,1.0438108,0.24003060162067413,-0.12975141406059265,0.6361265778541565,234.68951,117.24225,13.417278
2022-01-23,0.0,0.0,11.929354,2.5399325,-2.6369786,0.23794955015182495,-0.14722952246665955,0.629462718963623,234.68951,117.24225,13.417278
2022-02-04,0.0,0.0,10.440295,4.682082,0.47793055,0.20251242816448212,-0.10556180030107498,0.510744571685791,234.68951,117.24225,13.417278
2022-02-16,0.0,0.0,7.17987,2.1485116,-2.1043189,-0.17130813002586365,0.20335553586483002,-0.2924472689628601,234.68951,117.24225,13.417278
2022-02-28,0.0,0.0,14.961307,5.910266,-2.4379628,0.2913147211074829,-0.17522931098937988,0.830227255821228,234.68951,117.24225,13.417278
2022-03-12,0.0,0.0,11.690283,7.1610823,3.2178578,,,,234.68951,117.24225,13.417278
2022-03-24,2.837143,0.0,23.230581,12.192678,2.44384,0.31701135635375977,-0.23053975403308868,0.9375790357589722,234.68951,117.24225,13.417278
2022-04-05,0.25,0.0,18.680363,10.169243,1.8213065,0.36646363139152527,-0.21851420402526855,1.1743946075439453,234.68951,117.24225,13.417278
2022-04-17,4.717143,0.0,23.377686,14.091655,6.0564766,0.4706091582775116,-0.3180046081542969,1.8031033277511597,234.68951,117.24225,13.417278
2022-04-29,6.0042853,0.0,24.008547,16.316168,7.998611,0.502981960773468,-0.3109431862831116,2.0589077472686768,234.68951,117.24225,13.417278
2022-05-11,10.592857,0.0,29.449423,20.468485,11.733735,0.3624282479286194,-0.2154965102672577,1.143242359161377,234.68951,117.24225,13.417278
2022-05-23,12.900001,0.31745306,29.460255,22.51188,16.336521,,,,234.68951,117.24225,13.417278
2022-06-04,14.791429,0.09419396,31.597445,23.652811,17.983189,,,,234.68951,117.24225,13.417278
2022-06-16,14.791429,0.09419396,31.597445,23.652811,17.983189,,,,234.68951,117.24225,13.417278
2022-06-28,14.791429,0.09419396,31.597445,23.652811,17.983189,,,,234.68951,117.24225,13.417278
2022-07-10,15.055715,0.0,31.85784,24.82881,18.253838,,,,234.68951,117.24225,13.417278
2022-07-22,20.502857,0.04639855,38.573097,31.75553,22.435364,0.2763955295085907,-0.19310598075389862,0.7697768211364746,234.68951,117.24225,13.417278
2022-08-03,15.322859,0.0,33.28744,25.19343,17.360273,0.4464981257915497,-0.2799616754055023,1.651953101158142,234.68951,117.24225,13.417278
2022-08-15,14.807144,2.1101978,31.670807,24.295551,17.942522,0.4379384219646454,-0.2630808353424072,1.605105996131897,234.68951,117.24225,13.417278
2022-08-27,11.24857,5.8673677,25.578615,20.430347,16.915953,,,,234.68951,117.24225,13.417278
2022-09-08,11.212857,17.415323,24.925125,20.312794,17.503653,0.15432129800319672,0.04342160001397133,0.37244072556495667,234.68951,117.24225,13.417278
2022-09-20,5.511429,0.0,23.818768,14.498305,7.203996,0.5770605802536011,-0.35488876700401306,2.7914130687713623,234.68951,117.24225,13.417278
2022-10-02,6.3199997,0.0,22.668533,14.870845,9.971338,0.4867878258228302,-0.2827366292476654,1.91832435131073,234.68951,117.24225,13.417278
2022-10-14,6.225714,0.24248329,21.089453,15.854751,11.358428,0.15051904320716858,-0.03180881589651108,0.35562029480934143,234.68951,117.24225,13.417278
2022-10-26,5.827143,0.0,20.54541,15.377909,11.110879,,,,234.68951,117.24225,13.417278
2022-11-07,0.0,0.0,14.006971,7.3681016,2.866947,0.27522915601730347,-0.12569968402385712,0.7634795308113098,234.68951,117.24225,13.417278
2022-11-19,0.0,0.0,12.820563,6.5213737,1.671435,0.30057811737060547,-0.1535017192363739,0.8658427000045776,234.68951,117.24225,13.417278
2022-12-01,0.0,0.0,8.514242,3.0956829,-0.058091868,0.27688270807266235,-0.15057094395160675,0.7714242339134216,234.68951,117.24225,13.417278
2022-12-13,0.0,0.0,0.008597568,-2.1924033,-6.2749343,,,,234.68951,117.24225,13.417278
2022-12-25,0.0,0.0,7.519878,1.8814617,-1.8056146,0.1037437692284584,5.9461643104441464e-05,0.2383924424648285,234.68951,117.24225,13.417278
